	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-2	DA-AD-3	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9
-1	0.48195467	0.38858308	0.53360402	0.63470800	0.77980981	0.76409898	0.25166833	0.42712689	0.39126977	0.54793011	0.55142206	0.58294733	0.43972306	0.51493838	0.53477659	0.52810766	0.47944266	0.46194680	0.42361617	0.48873510	0.44199058	0.35816340	0.62080827	0.55810012	0.29351697	0.52700195	0.53048339	0.38604492	0.58345103	0.32948505	0.19526355	0.36281206	0.38732586
Bacteria	0.00000000	0.00000000	0.00000000	0.00001328	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Prosthecochloris	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003015	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Chloroflexus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Dehalococcoides	0.00000959	0.00000000	0.00000000	0.00002030	0.00000000	0.00008728	0.00004637	0.00000000	0.00000000	0.00006032	0.00000000	0.00000000	0.00004266	0.00005681	0.00003315	0.00003614	0.00000000	0.00003769	0.00113611	0.00000000	0.00003959	0.00000000	0.00000000	0.00011117	0.00000000	0.00000000	0.00011227	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Thermus	0.00000000	0.00000424	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Listeria	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002023	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Fusobacterium	0.00000000	0.00000000	0.00000000	0.00000852	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002181	0.00000000	0.00000000	0.00003662	0.00004468	0.00000000	0.00001551	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00004409	0.00000000	0.00000000	0.00000000	0.00004689	0.00000000	0.00005281	0.00005002	0.00011665	0.00623069	0.00002512	0.00000000
Streptobacillus	0.00000000	0.00000471	0.00000000	0.00000000	0.00005138	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003500	0.00000000	0.00000000	0.00000000	0.00002841	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Brevibacillus	0.00000000	0.00000000	0.00000000	0.00000237	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000884	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000956	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Acidobacteria_Gp1_Gp1	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Paenibacillus	0.00000392	0.00000000	0.00000552	0.00000000	0.00000559	0.00000397	0.00000000	0.00000000	0.00000000	0.00000207	0.00001469	0.00001593	0.00000880	0.00004508	0.00000000	0.00000000	0.00000772	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00001068	0.00000000	0.00000000	0.00000000	0.00000000	0.00001192	0.00000000	0.00000000	0.00000000	0.00000000
Bartonella	0.00000000	0.00000000	0.00003268	0.00000000	0.00000000	0.00003945	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Beijerinckia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000684	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
