Year,BDMP,JMP,Minitab,SPSS,SAS,Stata,Statistica,Systat,R,SPlus
1995,18,257,1150,6450,8630,22,3,2480,8,8
1996,19,370,1290,7600,8700,91,11,2510,2,17
1997,41,550,1400,10500,10200,205,19,3390,6,33
1998,30,690,1460,14500,11100,322,28,2700,13,39
1999,18,865,1670,24300,12700,516,23,2650,25,45
2000,36,1060,1890,45600,16500,784,42,2780,51,52
2001,28,1190,2180,67200,21900,986,62,2880,133,159
2002,33,1430,2490,87200,27200,1290,84,2900,286,341
2003,37,1710,2860,75900,39600,1740,89,3100,627,574
2004,45,2070,3300,137000,49400,2400,146,3340,1180,817
2005,36,2520,3770,145000,57000,3090,165,4000,2180,1010
2006,27,2970,4590,141000,62800,4010,219,4870,3430,1180
2007,27,3400,5210,133000,60400,5100,209,5430,5060,1160
2008,26,3830,5830,119000,59100,6330,249,6270,6960,1180
2009,47,4170,6510,61500,53700,7600,297,6560,9150,970
2010,43,4680,7190,45700,43000,9230,351,7030,11400,710
2011,45,5590,7990,33200,32300,12000,413,8060,14500,644
