id	genus	abundance
A	Enterobacteriaceae	5
A	Lachnospiraceae	7.500000000000001
A	Bacteroidaceae	7.500000000000001
A	Lactobacillaceae	10
A	Clostridiaceae	10
A	Ruminococcaceae	12.5
A	Prevotellaceae	15
A	Erysipelotrichaceae	0
A	Streptococcaceae	12.5
A	Enterococcaceae	15
A	Other	5
B	Enterobacteriaceae	12.5
B	Lachnospiraceae	0
B	Bacteroidaceae	10
B	Lactobacillaceae	7.500000000000001
B	Clostridiaceae	5
B	Ruminococcaceae	10
B	Prevotellaceae	7.500000000000001
B	Erysipelotrichaceae	15
B	Streptococcaceae	5
B	Enterococcaceae	12.5
B	Other	15
C	Enterobacteriaceae	7.500000000000001
C	Lachnospiraceae	10
C	Bacteroidaceae	12.5
C	Lactobacillaceae	0
C	Clostridiaceae	12.5
C	Ruminococcaceae	15
C	Prevotellaceae	10
C	Erysipelotrichaceae	5
C	Streptococcaceae	7.500000000000001
C	Enterococcaceae	5
C	Other	15
D	Enterobacteriaceae	12.5
D	Lachnospiraceae	5
D	Bacteroidaceae	12.5
D	Lactobacillaceae	15
D	Clostridiaceae	10
D	Ruminococcaceae	15
D	Prevotellaceae	0
D	Erysipelotrichaceae	7.500000000000001
D	Streptococcaceae	7.500000000000001
D	Enterococcaceae	5
D	Other	10
E	Enterobacteriaceae	5
E	Lachnospiraceae	10
E	Bacteroidaceae	7.500000000000001
E	Lactobacillaceae	5
E	Clostridiaceae	10
E	Ruminococcaceae	12.5
E	Prevotellaceae	0
E	Erysipelotrichaceae	12.5
E	Streptococcaceae	15
E	Enterococcaceae	7.500000000000001
E	Other	15
F	Enterobacteriaceae	5
F	Lachnospiraceae	15
F	Bacteroidaceae	12.5
F	Lactobacillaceae	15
F	Clostridiaceae	0
F	Ruminococcaceae	7.500000000000001
F	Prevotellaceae	5
F	Erysipelotrichaceae	10
F	Streptococcaceae	10
F	Enterococcaceae	12.5
F	Other	7.500000000000001
G	Enterobacteriaceae	0
G	Lachnospiraceae	10
G	Bacteroidaceae	15
G	Lactobacillaceae	7.500000000000001
G	Clostridiaceae	15
G	Ruminococcaceae	12.5
G	Prevotellaceae	12.5
G	Erysipelotrichaceae	10
G	Streptococcaceae	5
G	Enterococcaceae	7.500000000000001
G	Other	5
H	Enterobacteriaceae	10
H	Lachnospiraceae	12.5
H	Bacteroidaceae	12.5
H	Lactobacillaceae	7.500000000000001
H	Clostridiaceae	0
H	Ruminococcaceae	5
H	Prevotellaceae	15
H	Erysipelotrichaceae	15
H	Streptococcaceae	5
H	Enterococcaceae	7.500000000000001
H	Other	10
I	Enterobacteriaceae	10
I	Lachnospiraceae	12.5
I	Bacteroidaceae	12.5
I	Lactobacillaceae	5
I	Clostridiaceae	7.500000000000001
I	Ruminococcaceae	15
I	Prevotellaceae	15
I	Erysipelotrichaceae	0
I	Streptococcaceae	10
I	Enterococcaceae	7.500000000000001
I	Other	5
J	Enterobacteriaceae	10
J	Lachnospiraceae	15
J	Bacteroidaceae	10
J	Lactobacillaceae	7.500000000000001
J	Clostridiaceae	12.5
J	Ruminococcaceae	5
J	Prevotellaceae	5
J	Erysipelotrichaceae	15
J	Streptococcaceae	12.5
J	Enterococcaceae	0
J	Other	7.500000000000001
