"","Abiotrophia","Acidaminococcus","Acinetobacter","Actinobacillus","Actinomyces","Adlercreutzia","Aerococcus","Aeromonas","Aggregatibacter","Akkermansia","Alistipes","Alloprevotella","Alloscardovia","Anaerococcus","Anaeroglobus","Anaerostipes","Anaerotruncus","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Bulleidia","Butyricicoccus","Butyricimonas","Butyrivibrio","Campylobacter","Capnocytophaga","Cardiobacterium","Catenibacterium","Centipeda","Cetobacterium","Citrobacter","Clostridium","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Corynebacterium","Cronobacter","Cryptobacterium","Desulfovibrio","Dialister","Dorea","Dysgonomonas","Eggerthella","Eggerthia","Eikenella","Enterobacter","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Flavonifractor","Fretibacterium","Fusobacterium","Gardnerella","Gemella","Gordonibacter","Granulicatella","Haemophilus","Holdemania","Kingella","Klebsiella","Kosakonia","Lachnoanaerobaculum","Lactobacillus","Lactococcus","Lautropia","Leptotrichia","Leuconostoc","Megamonas","Megasphaera","Methanobrevibacter","Methanosphaera","Mitsuokella","Morganella","Mycoplasma","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pectobacterium","Pediococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Plesiomonas","Porphyromonas","Prevotella","Propionibacterium","Proteus","Providencia","Pseudoflavonifractor","Pseudomonas","Pusillimonas","Pyramidobacter","Ralstonia","Raoultella","Roseburia","Rothia","Ruminococcus","Saccharopolyspora","Scardovia","Selenomonas","Serratia","Shewanella","Shigella","Shuttleworthia","Slackia","Solobacterium","Staphylococcus","Stomatobaculum","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Tannerella","Treponema","Turicibacter","unclassified","Veillonella","Weissella"
"ERR527006",0,0,0,0,0.07681,0,0,0,0,0,0.14996,0,0,0,0,0.0249,0,0,0,20.93431,0,0.05006,0,1.66834,0,0,0,0,0,0,0,0,0,0,0,0.01834,0,0,0,0,0.65016,0,0,0,0,0,0.73035,0,0,0,0,0,0,0,8.81547,6.55489,0,0,0.53217,0,0,0,0,0.88219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.41087,0,4.67262,0,0,0,0,0,0,0,0,0,0,0,0.31384,0,0,0.32299,0,0,0.00907,6.18318000000002,0.18653,0
"ERR527007",0,0,0,0,0,0.01945,0,0,0,0.17355,7.12404,0,0,0,0,0,0.02732,0,0,31.80149,8.40545,0,1.20589,0.776,0,0,0.00312,0,0,0,0,0,0,0,0,0.17941,0.1294,0,0,0,0.20618,0,0,0,1.50478,0,0.89971,0,0,0,0,0,0,0,21.26956,6.77166,0.03836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98255,0,0,0,0,0,0,0,0.88884,0,0,1.4717,0.00757,0,4.85139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53803,0,0.94545,0,0,0,0,0,0,0,0,0,0,0,0.30198,2.44441,0,0,0,0,0,3.02531999999999,0.00739,0
"ERR527008",0,0,0,0,0,0,0,0,0,0,1.75862,0,0,0,0,0,0,0,0,21.78476,0.84409,0,0.12179,1.8817,0,0,0,0,0,0,0,0,0,0,0,0.22937,0,0,0,0,0.0132,0,0,0,0,0,0.78775,0,0,0,0,0,0,0.29846,12.06703,7.22155,0,0,9.02266,0,0,0,0,0,0,0,0.01222,0,0,0,0,0,0,0,13.4376,0,0,0,0,0,0,0,0.3155,0,0,0.34792,0,0,3.31081,0,0,0.341,0,0,0,0,0,4.3513,0,0,10.42907,0,0,0,0,0,0,0,0,0,7.09683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35143,0.22561,0,1.25345,0,0,0,2.49628000000003,0,0
"ERR527009",0,0,0,0,0,0,0,0,0,0,2.92559,0,0,0,0,0,0,0,0,21.58491,0.99953,0,0.54354,1.26019,0,0,0,0,0,0,0,0,0,0,0,0.39689,0.18082,0,0,0,0.1896,0,0,0,0.1708,0,0.54208,0,0,0,0,0,0,0.61673,10.15299,10.06275,0.08153,0,6.28658,0,0,0,0,0,0.11112,0,0.25699,0,0,0,0,0,0,0,10.30058,0.62593,0,0,0,0,0,0,0.20177,0,0,0.6789,0,0,3.61981,0,0,0.4672,0,0,0,0,0,5.15037,0,0,10.36554,0,0,0,0,0,0,0,0,0,7.10942,0,0.05597,0,0,0,0,0,0,0,0,0,0,0,0.24113,1.04341,0,2.10993,0,0,0,1.66740000000001,0,0
"ERR527010",0,0,0,0,0,0.11932,0,0,0,0,1.5022,0,0,0,0,0.05376,0,0,0,69.71582,0,0.46241,1.19445,1.9943,0,0,0,0,0,0,0,0,0,0,0,0.04806,0,0,0,0,0.40117,0,0,0,0,0,0.40072,0,0.00259,0,0,0,0,0.11592,4.69102,8.32228,0.00738,0,0.05,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86361,0,0,0.71895,0,0,3.71245,0,0,0,0,0,0,0,0,0,0,0,0.0398,0,0,0,0,0,0,0,0,0,1.09838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1828,0.68348,0,0,0,0,0,3.54442,0.07276,0
"ERR527011",0,0,0,0,0,0,0,0,0,0,4.6279,0,0,0,0,0,0,0,0,49.84464,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92555,2.9167,0,0,0.11409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24419,0,0,0,0,0,0,0,0,0,0,0.01895,0,0,0.95077,3.23642,0,0,0,0,0,0,0,0,0,0,4.97852,0,0,0,0,0,0,0,0,0,7.17752,0,0.36206,0,0,0,0,0,0,0,0,0,0,0,0,5.56821,0,0,0,0,0,0.0192099999999868,0,0
"ERR527012",0,0,0,0,0,0,0,0,0,0,4.87351,0,0,0,0,0,0,0,0,47.69743,0.22122,0,0.15378,0.16769,0,0,0.01274,0,0,0,0,0,0,0,0,0,0.01003,0,0,0.02152,0.15674,0,0,0,0.15587,0,0.27125,0,0,0,0,0,0,0,17.7289,3.09591,0.01756,0,0.30811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39375,0,0,0,0,0,0,0,0.75655,0,0,0.26607,0,0,1.02631,4.09089,0,0.00967,0,0,0,0,0,0,0,0,3.97259,0,0,0,0.01045,0,0,0,0,0,6.83438,0,0.63828,0,0,0,0,0,0,0,0,0,0,0,0.0212,5.68247,0,0,0,0,0,0.405130000000057,0,0
"ERR527013",0,0,0,0,0,0,0,0,0,0,0.56035,0,0,0,0,0,0,0,0,7.96918,0,0,0,0.47638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94144,50.776,2.31935,0,0,0,0,0,0,0,0.43217,0,0,0,0,0,0,0,0,0,0,0.25303,0,0,0,0,0,0,0,0,0,0,0.08766,0,0,0.91337,0.39597,0,0,0,0,0,0,0,0,0.19306,0,30.39145,0,0,0,0,0,0,0,0,0,1.66135,0,2.23351,0,0,0,0,0,0,0,0,0,0,0,0.11967,0,0,0,0,0,0,0.253330000000005,0.02273,0
"ERR527014",0,0,0,0,0,0,0,0,0.01043,0,0.63378,0,0,0,0,0,0,0,0,6.3339,0,0,0.03609,0.68484,0,0,0,0,0,0,0,0,0,0,0.0019,0.00486,0.0225,0,0,0,0.32867,0,0,0,0,0.00743,0.22057,0,0,0,0,0.0818,0,0.84809,48.62229,2.68701,0,0,0,0,0,0,0,0.5573,0,0,0.04887,0,0,0,0,0,0,0.0585,0.3634,0,0,0,0.02438,0,0,0.03133,0.01463,0,0,0.15806,0,0,1.09884,0.4876,0,0.08226,0,0,0,0,0,0,0.28562,0,30.2665,0,0,0,0,0,0,0,0,0,2.13151,0.00857,2.31681,0,0,0,0,0,0,0,0,0,0,0,0.27715,0.15676,0,0,0,0,0,0.905780000000007,0.19515,0.00682
"ERR527015",0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,25.4238,0,0,0,0.00819,0,0,0,0,0,0,0,0,0,0,0,0.01235,0,0,0,0,0,0,0,0,0,0,0.13433,0,0,0,0,0,0,0.17477,3.39837,3.31411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69409,0,0,0.02582,0,0,0,0,0,0,0,0,59.18391,0,0,0,0,0,0,0,0,0,6.52298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.08808,0,0,0,0,0,0.755809999999997,0,0
