run.id	Methanobrevibacter	Actinomyces	Bifidobacterium	Rothia	Atopobium	Coriobacteriaceae UCG-003	Olsenella	Collinsella	CHKCI002	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	Bacteroides	Phocaeicola	Barnesiella	Coprobacter	Butyricimonas	Odoribacter	Sanguibacteroides	gut metagenome	metagenome	Porphyromonas	Alloprevotella	Paraprevotella	Prevotella	Prevotella 2	Prevotella 7	Prevotella 9	Prevotellaceae NK3B31 group	Prevotellaceae UCG-001	Alistipes	Rikenella	Rikenellaceae RC9 gut group	Parabacteroides	Flavobacterium	Elizabethkingia	Blattella germanica (German cockroach)	Ammopiptanthus mongolicus	Campylobacter	Anaerobacillus	Gemella	Staphylococcus	Abiotrophia	Enterococcus	Lactobacillus	Leuconostoc	Weissella	Lactococcus	Streptococcus	Catabacter	Christensenella	Christensenellaceae R-7 group	Clostridium sensu stricto 1	Clostridium sensu stricto 2	Clostridiales bacterium enrichment culture clone 06-1235251-67	gut metagenome	Anaerofustis	Anaerococcus	Ezakiella	Finegoldia	Parvimonas	Peptoniphilus	Family XIII AD3011 group	Family XIII UCG-001	S5-A14a	[Eubacterium] nodatum group	Agathobacter	Anaerostipes	Blautia	Butyrivibrio	CAG-56	Coprococcus 1	Coprococcus 2	Coprococcus 3	Dorea	Eisenbergiella	Fusicatenibacter	GCA-900066575	GCA-900066755	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae FCS020 group	Lachnospiraceae ND3007 group	Lachnospiraceae UCG-001	Lachnospiraceae UCG-003	Lachnospiraceae UCG-004	Lachnospiraceae UCG-008	Lachnospiraceae UCG-010	Lactonifactor	Moryella	Oribacterium	Roseburia	Sellimonas	Stomatobaculum	Tyzzerella	Tyzzerella 3	Tyzzerella 4	UC5-1-2E3	[Bacteroides] pectinophilus group	[Eubacterium] eligens group	[Eubacterium] fissicatena group	[Eubacterium] hallii group	[Eubacterium] ruminantium group	[Eubacterium] ventriosum group	[Eubacterium] xylanophilum group	[Ruminococcus] gauvreauii group	[Ruminococcus] gnavus group	[Ruminococcus] torques group	Peptococcus	Clostridioides	Criibacterium bergeronii	Paeniclostridium	Peptostreptococcus	Romboutsia	Terrisporobacter	Acetanaerobacterium	Anaerofilum	Anaerotruncus	Angelakisella	Butyricicoccus	Candidatus Soleaferrea	Caproiciproducens	DTU089	Faecalibacterium	Flavonifractor	Fournierella	GCA-900066225	Harryflintia	Hydrogenoanaerobacterium	Intestinimonas	Negativibacillus	Oscillibacter	Oscillospira	Ruminiclostridium	Ruminiclostridium 1	Ruminiclostridium 5	Ruminiclostridium 6	Ruminiclostridium 9	Ruminococcaceae NK4A214 group	Ruminococcaceae UCG-002	Ruminococcaceae UCG-003	Ruminococcaceae UCG-005	Ruminococcaceae UCG-009	Ruminococcaceae UCG-010	Ruminococcaceae UCG-013	Ruminococcaceae UCG-014	Ruminococcus 1	Ruminococcus 2	Subdoligranulum	UBA1819	[Eubacterium] coprostanoligenes group	Asteroleplasma	Catenibacterium	Coprobacillus	Dielma	Erysipelatoclostridium	Erysipelotrichaceae UCG-003	Faecalitalea	Holdemanella	Holdemania	Merdibacter	Solobacterium	Turicibacter	[Clostridium] innocuum group	Acidaminococcus	Phascolarctobacterium	Succiniclasticum	Allisonella	Anaeroglobus	Dialister	Megamonas	Megasphaera	Mitsuokella	Negativicoccus	Selenomonas 3	Selenomonas 4	Veillonella	Fusobacterium	Leptotrichia	Victivallis	Bacteroidales bacterium 55_9	Parcubacteria group bacterium CG1_02_50_68	Candidatus Saccharibacteria oral taxon TM7x	TM7 bacterium human oral taxon HOT-869	TM7 phylum sp. canine oral taxon 308	TM7 phylum sp. oral clone DR034	TM7 phylum sp. oral clone FR058	Telmatocola	Brevundimonas	Azospirillum sp. 47_25	gut metagenome	Sphingomonas	Bilophila	Desulfovibrio	Mailhella	Massilia	Parasutterella	Sutterella	Eikenella	Neisseria	Cardiobacterium	Dickeya	Enterobacter	Escherichia-Shigella	Actinobacillus	Haemophilus	Acinetobacter	Pseudomonas	Brachyspira	Pyramidobacter	Synergistes	Akkermansia
SRR7182107	0.001431708	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177436289	0	0.016703255	0.00133626	0	0.0151761	0	0	0	0	0	0.017466832	0	0	0	0.021189272	0	0	0.086284242	0	0	0.046291877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02596163	0.007444879	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033883745	0	0	0	0	0	0	0.003436098	0	0	0.004581464	0	0	0	0	0.005249594	0.016321466	0	0	0	0	0.007253985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016035125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002863415	0.001718049	0	0	0	0.067194808	0	0	0	0	0	0	0	0.010212847	0	0	0	0	0	0.009640164	0	0.054595781	0.011262766	0.009735611	0.001145366	0.002195285	0	0.031497566	0.000859025	0.011549108	0.018230409	0.001718049	0.02157106	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025866183	0	0	0	0	0	0	0	0.005631383	0	0	0	0.0050587	0	0	0.013267157	0.002004391	0	0	0	0	0	0	0	0	0	0	0	0	0.015748783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000572683	0	0
SRR7182108	0.005541845	0	0.00419968	0	0	0	0	0.000736026	0	0	0.001125687	0	0	0.000346365	0.109061783	0	0	0.001905009	0.002554444	0.007316968	0	0	0	0	0	0.009914708	0	0.012122787	0	0.020695328	0.004242975	0	0.034506646	0.001082392	0	0.024721825	0.000259774	0	0	0.000389661	0	0	0	0	0	0	0	0	0	0	0.00030307	0	0.000216478	0.019309867	0.006927307	0	0	0.000865913	0	0	0	0	0	0	0.002987401	0	0	0	0.01627917	0.001342166	0.006970602	0	0.002078192	0	0.005801619	0	0.0009958	0	0.004849115	0.005368663	0	0	0	0.01627917	0.005238776	0.001861714	0.002554444	0.004026497	0	0.003680132	0.002164783	0	0	0	0	0.005844915	0	0	0.003420358	0	0	0	0	0.005758324	0	0	0.00359354	0	0.002641036	0	0	0.003810019	0	0	0	0	0	0	0	0.001255574	0	0.001125687	0.006754124	0.002034896	0.001558644	0.000779322	0.003333766	0.036325064	0.002251375	0	0	0	0	0.005715028	0.001428757	0.010780621	0	0.001342166	0	0.002944105	0.00649435	0.01658224	0.005152184	0.014417457	0.003290471	0.013421656	0.001861714	0.002251375	0	0.013551543	0.00290081	0.001688531	0.016495649	0.002857514	0.010304369	0	0	0	0	0	0.001645235	0	0.003550245	0.001472053	0	0	0	0	0.008875612	0.011300169	0	0	0	0	0	0	0.020392259	0	0	0	8.66E-05	0	0	0	0.001558644	0	0	0	0	0.000173183	0	0	0	0	0	0	0.003680132	0.004329567	0.002251375	0	0.001688531	0.003766723	0	0	0	0	0	0	0	0	0	0.000649435	0	0.00030307	0	0
SRR7182109	0	0.000192749	0.005379453	0	0.000525679	0	0	0	0	0	0	0	0	0	0.449193082	0	0	0	0	0	0	0	0	0.000490634	0	0	0.005414498	0	0	0	0	0	0.002540784	0	0	0.017084582	0	0	0	0	0.005326885	0	0	0	0	0.001366767	0.005694861	0	0	0	0.009742592	0	0	0	0	0	0	0	0	3.50E-05	0.000718429	0.000350453	0	0.000490634	0.00026284	0	0	0	0	0	0.00033293	0	0	0	0	0	0.001401812	0	0	0	0	0	0.008025373	0.010110568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152447	0	0	0	0	0.007026582	0.016576425	0	0	0	0	0	0	0	0	0	0	0	0.001752265	0	0.005870087	0	0.079325028	0.016208449	0	0	0	0	0	0	0.006062836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015840474	0	0	0	0.004030209	0.006238063	0.005554679	0	0	0	0.001051359	0	0	0	0.001734742	0.167358811	0	0	0	0.001699697	0.01482416	0	0.007219331	0	0.00026284	0	0	0.038497258	0.00178731	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	0.006027791	0	0	0	0.004012686	0	0	0	0	0	0	0	0	0	0	0	0.000438066	0	0
SRR7182110	0	0	0	0	0	0	0	0.001197533	0	0	0	0	0	0	0.372552542	0	0	0	0.002993833	0.003173463	0	0	0	0	0	0	0	0	0	0	0	0	0.050775403	0	0	0.012214837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002035806	0	0	0	0	0	0	0.004909886	0	0	0	0.000598767	0	0	0	0.10987366	0.009041375	0.012633974	0	0	0	0.009400635	0.01646608	0	0.004670379	0	0	0	0	0	0.036884019	0	0	0.008143225	0	0	0.003233339	0	0	0	0	0	0	0	0	0	0.004370996	0	0	0	0	0.002694449	0.002095683	0	0.005089516	0	0	0	0	0	0	0	0	0	0	0.003053709	0.00125741	0	0.002574696	0	0.004311119	0	0.00017963	0	0.01736423	0.011376564	0	0	0	0	0.015687683	0	0.013891384	0	0	0	0	0	0.009221005	0	0.010777798	0.015687683	0.004670379	0	0	0.003293216	0.005508652	0.007065445	0.006526555	0.034967966	0.007185198	0.006646309	0	0	0	0.000598767	0.000479013	0.004730256	0	0	0.00143704	0	0	0	0	0	0	0	0	0	0.04652416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000479013	0	0	0	0	0	0	0	0	0.000479013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010658044
SRR7182111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41703829	0	0.011456251	0.003075504	0.015146855	0.014147317	0	0	0	0	0	0	0	0	0	0	0	0	0.032907889	0	0	0.04051976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002152853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005382131	0.003383054	0.002691066	0	0.011686914	0	0.004843918	0	0	0	0	0.001153314	0	0	0	0.012225127	0.011840689	0	0	0	0.009610949	0	0.002460403	0.004690143	0	0.001691527	0	0	0	0	0	0	0	0	0	0.034368753	0	0	0.004613255	0	0	0	0	0.012378902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07850223	0	0	0	0	0	0	0	0.001845302	0	0	0	0.003229279	0	0.00222974	0.009457174	0.022604952	0	0.008457635	0	0	0.006842996	0.026603106	0.012994003	0	0.014224204	0	0.013147778	0	0	0	0	0	0.012071352	0	0	0.001307089	0	0	0	0	0	0.045517453	0	0	0	0	0	0	0	0	0	0	0.004075042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007073658	0.008226972	0	0	0	0	0	0	0	0	0	0	0.007688759	0	0	0
SRR7182112	0	0	0.000245459	0	0	0	0	0	0	0	0	0	0	0	0.78706431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007241041	0	0	0	0.017182131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005522828	0	0	0	0	0	0.012641139	0.016691213	0	0.005400098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01988218	0	0	0	0	0	0	0.008468336	0.02466863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019023073	0.021477663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005154639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006136475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015218459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR7182113	0	0	0.000925314	0	0	0	0	0	0	0	0	0	0	0	0.381559815	0	0.015664243	0	0	0.00806345	0	0	0	0	0	0	0	0	0	0	0	0	0.055518837	0	0	0.012557832	0	0	0.009253139	0	0	0	0	0	0	0	0	0	0	0	0.000198282	0	0	0.000793126	0.009649703	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028420357	0.015135492	0.012756114	0	0	0.007072042	0	0	0	0	0.003106411	0	0	0	0	0.005750165	0.013020489	0	0	0	0	0.000132188	0	0	0	0.002181097	0	0.0042961	0	0	0.001784534	0	0	0	0	0.02623926	0	0.004163913	0	0	0.004163913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002511566	0	0	0	0.105750165	0	0	0	0	0	0	0	0.022009253	0	0	0	0.001652346	0	0.000925314	0	0.030865829	0.001520159	0	0	0	0.002775942	0.012822208	0.015333774	0.019695968	0.011434237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013813615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003502974	0	0	0	0.016589557	0	0	0	0	0	0	0	0	0	0	0	0	0.000925314	0	0.007931262
SRR7182114	0	0	0.00329292	0	0	0	0	0	0	0	0	0	0	0	0.433468044	0	0.000299356	0	0.010178117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033527915	0	0	0.078281694	0	0	0	0	0	0	0	0.001945816	0	0	0.025145936	0	0	0	0.020056878	0	0	0	0	0	0	0	0	0	0.002095495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329292	0	0	0	0	0.014818141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001945816	0	0	0	0	0.004789702	0	0	0	0	0	0	0.021853016	0.004190989	0	0	0	0	0	0	0	0	0	0	0.002095495	0.001796138	0	0	0	0.022002694	0.008681335	0	0	0	0.000598713	0	0	0.027091753	0	0	0	0	0	0.038167939	0	0.030085317	0	0.010627152	0	0	0	0	0	0.077982338	0	0.031133064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002394851	0	0	0	0	0	0.027391109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008381979	0	0
SRR7182115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25206335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029221503	0	0	0	0	0	0	0	0	0	0.012491635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007138077	0	0	0	0	0.289315191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39192505
SRR7182116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124406958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011070111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391143911	0	0	0	0	0	0	0	0	0	0	0	0.455983131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
